ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
19;Z MATERIALNO ŠKODO;RADOVLJICA;01.01.2019;13;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;44003;BLED;00025;LJUBLJANSKA CESTA;5;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;136411;431980;1;POVZROÈITELJ;44;ŽENSKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;06;08;,00;,00
19;Z MATERIALNO ŠKODO;RADOVLJICA;01.01.2019;13;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;44003;BLED;00025;LJUBLJANSKA CESTA;5;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;136411;431980;2;UDELEŽENEC;21;MOŠKI;;KOSOVO;BREZ POŠKODBE;OSTALO;NEZNANO;0;0;,00;,00
20;Z MATERIALNO ŠKODO;SEŽANA;01.01.2019;17;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;48130;SEŽANA;00021;PARTIZANSKA CESTA;149;CESTA;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;62640;410235;1;POVZROÈITELJ;65;MOŠKI;SEŽANA;SRBIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;17;09;,00;,00
20;Z MATERIALNO ŠKODO;SEŽANA;01.01.2019;17;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;48130;SEŽANA;00021;PARTIZANSKA CESTA;149;CESTA;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;62640;410235;2;UDELEŽENEC;56;MOŠKI;;HRVAŠKA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;27;11;,00;,00
21;Z LAŽJO TELESNO POŠKODBO;PIRAN;01.01.2019;0;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;40011;STRUNJAN;0;NI ODSEKOV;28;KROŽNO KRIŽIŠÈE;NEPRAVILNA STRAN / SMER VOŽNJE;OSTALO;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;43243;391771;1;POVZROÈITELJ;43;MOŠKI;KOPER;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK MOPEDA DO 25 KM/H;DA;0;0;,00;,00
22;Z MATERIALNO ŠKODO;LAŠKO;03.01.2019;22;NE;CESTA;LOKALNA CESTA;94008;MALA BREZA - MRZLO POLJE;0;NI ODSEKOV;4300;CESTA;OSTALO;OSTALO;SNEG;REDEK;SNEŽENO - NEPLUŽENO;HRAPAV  ASFALT / BETON;110025;527672;1;UDELEŽENEC;37;ŽENSKI;LAŠKO;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;19;10;,00;,00
23;Z MATERIALNO ŠKODO;ŠKOFJA LOKA;02.01.2019;19;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;53149;ŠKOFJA LOKA;00018;PARTIZANSKA CESTA;40;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;OBLAÈNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;114268;446672;1;POVZROÈITELJ;18;MOŠKI;ŠKOFJA LOKA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;0;0;,00;,00
23;Z MATERIALNO ŠKODO;ŠKOFJA LOKA;02.01.2019;19;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;53149;ŠKOFJA LOKA;00018;PARTIZANSKA CESTA;40;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;OBLAÈNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;114268;446672;2;UDELEŽENEC;56;MOŠKI;ŠKOFJA LOKA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;37;09;,00;,00
24;Z LAŽJO TELESNO POŠKODBO;CELJE;02.01.2019;14;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;03126;ŽEPINA;0;NI ODSEKOV;16;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;122533;526598;1;POVZROÈITELJ;57;MOŠKI;VELENJE;SRBIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;16;10;,00;,00
25;S HUDO TELESNO POŠKODBO;NOVA GORICA;01.01.2019;8;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;37093;RENÈE;00004;MERLJAKI;6;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;JASNO;REDEK;MOKRO;ZGLAJEN ASFALT / BETON;83450;396823;1;POVZROÈITELJ;31;MOŠKI;NOVA GORICA;SLOVENIJA;HUDA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;11;01;,00;2,02
