ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
2179;Z MATERIALNO ŠKODO;LJUBLJANA;25.02.2019;8;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00047;ŠENTJAKOB-LJ ZADOBROVA;0;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;OPLAŽENJE;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;105337;468424;1;UDELEŽENEC;54;MOŠKI;SLOVENJ GRADEC;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;26;11;,00;,00
2179;Z MATERIALNO ŠKODO;LJUBLJANA;25.02.2019;8;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00047;ŠENTJAKOB-LJ ZADOBROVA;0;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;OPLAŽENJE;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;105337;468424;2;POVZROÈITELJ;58;ŽENSKI;LITIJA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;15;10;,00;,00
2180;Z MATERIALNO ŠKODO;LJUBLJANA;25.02.2019;15;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00014;LJ KOSEZE-BRDO;1000;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;102105;458224;1;POVZROÈITELJ;22;MOŠKI;VRHNIKA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;04;02;,00;,00
2180;Z MATERIALNO ŠKODO;LJUBLJANA;25.02.2019;15;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00014;LJ KOSEZE-BRDO;1000;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;102105;458224;2;UDELEŽENEC;62;MOŠKI;POSTOJNA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;43;08;,00;,00
2180;Z MATERIALNO ŠKODO;LJUBLJANA;25.02.2019;15;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00014;LJ KOSEZE-BRDO;1000;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;102105;458224;3;UDELEŽENEC;25;ŽENSKI;LOGATEC;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;07;09;,00;,00
2181;Z MATERIALNO ŠKODO;KOPER;21.02.2019;20;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;17055;MAREZIGE;0;NI ODSEKOV;33;CESTA;OSTALO;OSTALO;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;41140;406636;1;POVZROÈITELJ;39;MOŠKI;IDRIJA;SLOVENIJA;BREZ POŠKODBE;KOLESAR;DA;0;0;,00;,00
2182;Z MATERIALNO ŠKODO;ÈRNOMELJ;22.02.2019;6;NE;CESTA;REGIONALNA CESTA;00216;IVANÈNA GORICA - ÈRNOMELJ;01178;ÈRMOŠNJICE-ÈRNOMELJ;2000;CESTA;NEPRAVILNO PREHITEVANJE;OSTALO;JASNO;GOST;SUHO;ZGLAJEN ASFALT / BETON;57182;509405;1;UDELEŽENEC;49;MOŠKI;TREBNJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;38;00;,00;,00
2182;Z MATERIALNO ŠKODO;ÈRNOMELJ;22.02.2019;6;NE;CESTA;REGIONALNA CESTA;00216;IVANÈNA GORICA - ÈRNOMELJ;01178;ÈRMOŠNJICE-ÈRNOMELJ;2000;CESTA;NEPRAVILNO PREHITEVANJE;OSTALO;JASNO;GOST;SUHO;ZGLAJEN ASFALT / BETON;57182;509405;2;POVZROÈITELJ;25;MOŠKI;KRŠKO;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;07;01;,00;,00
2183;Z MATERIALNO ŠKODO;PTUJ;09.02.2019;11;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;42038;DRAŽENCI;0;NI ODSEKOV;74;PARKIRNI PROSTOR;OSTALO;BOÈNO TRÈENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;138665;565275;1;UDELEŽENEC;40;MOŠKI;PTUJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;22;07;,00;,00
2184;Z MATERIALNO ŠKODO;LJUBLJANA;25.02.2019;12;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;01534;RAKUŠEVA ULICA;34;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;103894;460661;1;POVZROÈITELJ;35;ŽENSKI;SEVNICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;14;03;,00;,00
2184;Z MATERIALNO ŠKODO;LJUBLJANA;25.02.2019;12;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;25001;LJUBLJANA;01534;RAKUŠEVA ULICA;34;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;103894;460661;2;UDELEŽENEC;71;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;16;02;,00;,00
2185;Z MATERIALNO ŠKODO;TOLMIN;25.02.2019;12;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;55006;BOVEC;00001;BRDO;66;CESTA;PREMIKI Z VOZILOM;TRÈENJE V OBJEKT;OBLAÈNO;NEZNANO;SUHO;HRAPAV  ASFALT / BETON;133303;388703;1;UDELEŽENEC;62;MOŠKI;LJUBLJANA;SLOVENIJA;BREZ POŠKODBE;OSTALO;DA;0;0;,00;,00
2186;Z MATERIALNO ŠKODO;ILIRSKA BISTRICA;25.02.2019;22;NE;CESTA;REGIONALNA CESTA II. REDA;00404;PODGRAD-IL.BISTRICA-PIVKA;01379;PODGRAD-IL.BISTRICA;5500;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;OBLAÈNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;45069;437383;1;UDELEŽENEC;31;MOŠKI;ILIRSKA BISTRICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;05;05;,00;,00
2187;Z MATERIALNO ŠKODO;CELJE;23.01.2019;10;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;03011;CELJE;00067;KERSNIKOVA ULICA;17;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;SNEG;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;121460;520550;1;UDELEŽENEC;31;MOŠKI;ŽALEC;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;NEZNANO;12;00;,00;,00
2187;Z MATERIALNO ŠKODO;CELJE;23.01.2019;10;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;03011;CELJE;00067;KERSNIKOVA ULICA;17;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;SNEG;NORMALEN;MOKRO;HRAPAV  ASFALT / BETON;121460;520550;2;POVZROÈITELJ;24;MOŠKI;ŠENTJUR PRI CELJU;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;0;0;,00;,00
2188;Z MATERIALNO ŠKODO;ILIRSKA BISTRICA;24.02.2019;20;NE;CESTA;LOKALNA CESTA;54201;LOKALNA CESTA;0;NI ODSEKOV;0;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;NEZNANO;NEZNANO;SUHO;HRAPAV  ASFALT / BETON;0;0;1;POVZROÈITELJ;31;MOŠKI;ILIRSKA BISTRICA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;11;00;,00;,00
2189;Z LAŽJO TELESNO POŠKODBO;NOVO MESTO;25.02.2019;15;NE;CESTA;GLAVNA CESTA II. REDA;00105;NOVO MESTO LOÈNA-METLIKA;00256;NOVO MESTO REVOZ-METLIKA;2000;CESTA;NEPRILAGOJENA HITROST;ÈELNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;70964;514236;1;POVZROÈITELJ;59;MOŠKI;NOVO MESTO;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;26;00;,00;,00
2189;Z LAŽJO TELESNO POŠKODBO;NOVO MESTO;25.02.2019;15;NE;CESTA;GLAVNA CESTA II. REDA;00105;NOVO MESTO LOÈNA-METLIKA;00256;NOVO MESTO REVOZ-METLIKA;2000;CESTA;NEPRILAGOJENA HITROST;ÈELNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;70964;514236;2;UDELEŽENEC;40;ŽENSKI;METLIKA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;23;00;,00;,00
2190;Z MATERIALNO ŠKODO;ŽALEC;22.02.2019;16;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00641;ARJA VAS-ŠENTRUPERT;500;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;124967;514577;1;POVZROÈITELJ;52;ŽENSKI;PTUJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;32;00;,00;,00
2190;Z MATERIALNO ŠKODO;ŽALEC;22.02.2019;16;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00641;ARJA VAS-ŠENTRUPERT;500;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;124967;514577;2;UDELEŽENEC;30;MOŠKI;;SRBIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;02;00;,00;,00
2191;Z MATERIALNO ŠKODO;KAMNIK;25.02.2019;11;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;15024;KAMNIK;00079;BAKOVNIK;3;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;118465;469506;1;UDELEŽENEC;69;ŽENSKI;KAMNIK;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
2191;Z MATERIALNO ŠKODO;KAMNIK;25.02.2019;11;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;15024;KAMNIK;00079;BAKOVNIK;3;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;118465;469506;2;POVZROÈITELJ;67;MOŠKI;KAMNIK;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;49;02;,00;,00
2192;Z MATERIALNO ŠKODO;ORMOŽ;26.02.2019;8;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;39041;ORMOŽ;00005;KOLODVORSKA CESTA;2;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;141088;588805;1;UDELEŽENEC;45;MOŠKI;ORMOŽ;SLOVENIJA;BREZ POŠKODBE;OSTALO;NEZNANO;0;0;,00;,00
2193;Z MATERIALNO ŠKODO;CELJE;11.01.2019;10;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;03011;CELJE;00205;VOJKOVA ULICA;2;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;NEZNANO;NEZNANO;SUHO;ZGLAJEN ASFALT / BETON;121276;519818;1;UDELEŽENEC;53;MOŠKI;ŠENTJUR PRI CELJU;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
2193;Z MATERIALNO ŠKODO;CELJE;11.01.2019;10;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;03011;CELJE;00205;VOJKOVA ULICA;2;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;NEZNANO;NEZNANO;SUHO;ZGLAJEN ASFALT / BETON;121276;519818;2;POVZROÈITELJ;42;MOŠKI;CELJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;0;0;,00;,00
2194;Z MATERIALNO ŠKODO;VRHNIKA;25.02.2019;21;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00052;BREZOVICA-VRHNIKA;10000;CESTA;OSTALO;OSTALO;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;93861;447728;1;UDELEŽENEC;37;MOŠKI;AJDOVŠÈINA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;19;08;,00;,00
2195;Z LAŽJO TELESNO POŠKODBO;KRANJ;26.02.2019;14;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00006;PODTABOR-KRANJ Z;6400;CESTA;NEPRILAGOJENA HITROST;BOÈNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;125447;448598;1;POVZROÈITELJ;61;MOŠKI;RADOVLJICA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;09;01;,74;1,58
2195;Z LAŽJO TELESNO POŠKODBO;KRANJ;26.02.2019;14;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00006;PODTABOR-KRANJ Z;6400;CESTA;NEPRILAGOJENA HITROST;BOÈNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;125447;448598;2;UDELEŽENEC;46;MOŠKI;;BOSNA IN HERCEGOVINA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;19;07;,00;,00
2196;Z MATERIALNO ŠKODO;CELJE;04.01.2019;1;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;03011;CELJE;00165;TEHARSKA CESTA;15;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;SNEG;NEZNANO;SNEŽENO - NEPLUŽENO;ZGLAJEN ASFALT / BETON;120800;521376;1;UDELEŽENEC;38;MOŠKI;CELJE;SLOVENIJA;BREZ POŠKODBE;OSTALO;NEZNANO;0;0;,00;,00
2196;Z MATERIALNO ŠKODO;CELJE;04.01.2019;1;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;03011;CELJE;00165;TEHARSKA CESTA;15;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;SNEG;NEZNANO;SNEŽENO - NEPLUŽENO;ZGLAJEN ASFALT / BETON;120800;521376;2;POVZROÈITELJ;41;MOŠKI;CELJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK DELOVNEGA STROJA;NEZNANO;18;00;,00;,00
2197;Z LAŽJO TELESNO POŠKODBO;PTUJ;24.02.2019;12;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;42165;SPUHLJA;0;NI ODSEKOV;26;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;141394;570488;1;UDELEŽENEC;55;ŽENSKI;PTUJ;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;32;04;,00;,00
2197;Z LAŽJO TELESNO POŠKODBO;PTUJ;24.02.2019;12;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;42165;SPUHLJA;0;NI ODSEKOV;26;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;OBLAÈNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;141394;570488;2;POVZROÈITELJ;44;MOŠKI;PTUJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;24;10;,00;,00
2198;Z MATERIALNO ŠKODO;NOVO MESTO;26.02.2019;18;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;38015;BUDGANJA VAS;0;NI ODSEKOV;40;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;76380;493733;1;POVZROÈITELJ;72;ŽENSKI;NOVO MESTO;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;19;00;,00;,00
2199;Z LAŽJO TELESNO POŠKODBO;CELJE;09.01.2019;14;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;03011;CELJE;00028;DEÈKOVA CESTA;1;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;NEZNANO;NEZNANO;MOKRO;ZGLAJEN ASFALT / BETON;121787;521353;1;POVZROÈITELJ;60;MOŠKI;CELJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;27;00;,00;,00
2199;Z LAŽJO TELESNO POŠKODBO;CELJE;09.01.2019;14;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;03011;CELJE;00028;DEÈKOVA CESTA;1;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;NEZNANO;NEZNANO;MOKRO;ZGLAJEN ASFALT / BETON;121787;521353;2;UDELEŽENEC;38;MOŠKI;CELJE;BOSNA IN HERCEGOVINA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;12;00;,00;,00
2200;Z MATERIALNO ŠKODO;KRANJ;26.02.2019;9;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;18035;KRANJ;00006;CESTA 1. MAJA;77;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;OBLAÈNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;121073;451579;1;UDELEŽENEC;70;ŽENSKI;KRANJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
2200;Z MATERIALNO ŠKODO;KRANJ;26.02.2019;9;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;18035;KRANJ;00006;CESTA 1. MAJA;77;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;OPLAŽENJE;OBLAÈNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;121073;451579;2;POVZROÈITELJ;86;MOŠKI;KRANJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;57;06;,00;,00
2201;Z LAŽJO TELESNO POŠKODBO;NOVA GORICA;24.02.2019;17;NE;CESTA;LOKALNA CESTA;99621;NOVA GORICA POVRŠINE;99621;NI ODSEKOV;900;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0;1;UDELEŽENEC;20;ŽENSKI;NOVA GORICA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;DA;0;0;,00;,00
2201;Z LAŽJO TELESNO POŠKODBO;NOVA GORICA;24.02.2019;17;NE;CESTA;LOKALNA CESTA;99621;NOVA GORICA POVRŠINE;99621;NI ODSEKOV;900;CESTA;NEPRILAGOJENA HITROST;PREVRNITEV VOZILA;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;0;0;2;POVZROÈITELJ;22;MOŠKI;NOVA GORICA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;01;06;,08;,24
2202;Z LAŽJO TELESNO POŠKODBO;PTUJ;20.02.2019;8;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;42135;PTUJ;00066;ORMOŠKA CESTA;15;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;POVOŽENJE PEŠCA;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;141971;567909;1;UDELEŽENEC;71;MOŠKI;PTUJ;SLOVENIJA;LAŽJA TELESNA POŠKODBA;PEŠEC;NE;0;0;,00;,00
2202;Z LAŽJO TELESNO POŠKODBO;PTUJ;20.02.2019;8;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;42135;PTUJ;00066;ORMOŠKA CESTA;15;PARKIRNI PROSTOR;PREMIKI Z VOZILOM;POVOŽENJE PEŠCA;JASNO;GOST;SUHO;HRAPAV  ASFALT / BETON;141971;567909;2;POVZROÈITELJ;23;MOŠKI;PTUJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;04;03;,00;,00
2203;Z MATERIALNO ŠKODO;KRANJ;09.02.2019;13;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;18035;KRANJ;00006;CESTA 1. MAJA;11;PARKIRNI PROSTOR;OSTALO;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;121672;450989;1;POVZROÈITELJ;23;MOŠKI;KRANJ;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;02;00;,00;,00
2203;Z MATERIALNO ŠKODO;KRANJ;09.02.2019;13;DA;NASELJE;NASELJE Z ULIÈNIM SISTEMOM;18035;KRANJ;00006;CESTA 1. MAJA;11;PARKIRNI PROSTOR;OSTALO;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;121672;450989;2;UDELEŽENEC;43;MOŠKI;KRANJ;SLOVENIJA;BREZ POŠKODBE;OSTALO;NE;0;0;,00;,00
2204;Z MATERIALNO ŠKODO;GROSUPLJE;25.02.2019;17;NE;CESTA;AVTOCESTA;000A2;KARAVANKE-LJ-NM-OBREŽJE;00022;GROSUPLJE-IVANÈNA GORICA;6200;CESTA;OSTALO;TRÈENJE V OBJEKT;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;90610;479383;1;UDELEŽENEC;28;ŽENSKI;GROSUPLJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;10;04;,00;,00
2205;Z MATERIALNO ŠKODO;PTUJ;22.02.2019;19;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;42210;ZGORNJI VELOVLEK;0;NI ODSEKOV;13;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OSTALO;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;147477;569078;1;POVZROÈITELJ;40;MOŠKI;PTUJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;22;06;,00;,00
2206;Z LAŽJO TELESNO POŠKODBO;LJUBLJANA;21.02.2019;10;DA;CESTA;GLAVNA CESTA II. REDA;00108;LJ ÈRNUÈE - ZIDANI MOST;01181;ŠENTJAKOB-RIBÈE;9000;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OPLAŽENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;105426;476795;1;UDELEŽENEC;27;MOŠKI;LJUBLJANA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK TOVORNEGA VOZILA;DA;01;04;,00;,00
2207;Z LAŽJO TELESNO POŠKODBO;LOGATEC;27.02.2019;3;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00654;LOGATEC-UNEC;700;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;84484;442642;1;UDELEŽENEC;51;MOŠKI;;ROMUNIJA;LAŽJA TELESNA POŠKODBA;VOZNIK TOVORNEGA VOZILA;DA;21;06;,00;,00
2207;Z LAŽJO TELESNO POŠKODBO;LOGATEC;27.02.2019;3;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00654;LOGATEC-UNEC;700;CESTA;NEPRILAGOJENA HITROST;NALETNO TRÈENJE;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;84484;442642;2;POVZROÈITELJ;42;MOŠKI;;ÈEŠKA REPUBLIKA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;21;03;,00;,00
2208;Z MATERIALNO ŠKODO;PTUJ;20.02.2019;13;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;00016;SPODNJA HAJDINA;0;NI ODSEKOV;19;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;141443;565056;1;POVZROÈITELJ;26;MOŠKI;PTUJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;08;04;,00;,00
2208;Z MATERIALNO ŠKODO;PTUJ;20.02.2019;13;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;00016;SPODNJA HAJDINA;0;NI ODSEKOV;19;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;141443;565056;2;UDELEŽENEC;23;MOŠKI;PTUJ;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;04;11;,00;,00
